page_number,x0,y0,x1,y1,text,block_no,line_no,word_no
1,54,352,93,362,4016930000,11,0,0
1,44,342,51,349,59.,52,0,0
1,53,342,77,349,Subpartida,52,0,1
1,78,342,103,349,arancelaria,52,0,2
2,54,352,93,362,3926909090,11,0,0
2,44,342,51,349,59.,52,0,0
2,53,342,77,349,Subpartida,52,0,1
2,78,342,103,349,arancelaria,52,0,2
3,54,352,93,362,3926909090,11,0,0
3,44,342,51,349,59.,52,0,0
3,53,342,77,349,Subpartida,52,0,1
3,78,342,103,349,arancelaria,52,0,2
4,54,352,93,362,4908909000,11,0,0
4,44,342,51,349,59.,52,0,0
4,53,342,77,349,Subpartida,52,0,1
4,78,342,103,349,arancelaria,52,0,2
5,54,352,93,362,4016100000,11,0,0
5,44,342,51,349,59.,52,0,0
5,53,342,77,349,Subpartida,52,0,1
5,78,342,103,349,arancelaria,52,0,2
6,54,352,93,362,7320209000,11,0,0
6,44,342,51,349,59.,52,0,0
6,53,342,77,349,Subpartida,52,0,1
6,78,342,103,349,arancelaria,52,0,2
7,54,352,93,362,8409916000,11,0,0
7,44,342,51,349,59.,52,0,0
7,53,342,77,349,Subpartida,52,0,1
7,78,342,103,349,arancelaria,52,0,2
8,54,352,93,362,8409916000,11,0,0
8,329,319,336,326,57.,52,0,0
8,337,319,357,326,Empresa,52,0,1
8,359,319,391,326,transportadora,52,0,2
9,54,352,93,362,7320209000,11,0,0
9,44,342,51,349,59.,52,0,0
9,53,342,77,349,Subpartida,52,0,1
9,78,342,103,349,arancelaria,52,0,2
10,54,352,93,362,7320209000,11,0,0
10,44,342,51,349,59.,52,0,0
10,53,342,77,349,Subpartida,52,0,1
10,78,342,103,349,arancelaria,52,0,2
11,54,352,93,362,8482200000,11,0,0
11,44,342,51,349,59.,52,0,0
11,53,342,77,349,Subpartida,52,0,1
11,78,342,103,349,arancelaria,52,0,2
12,54,352,93,362,8421991000,11,0,0
12,44,342,51,349,59.,52,0,0
12,53,342,77,349,Subpartida,52,0,1
12,78,342,103,349,arancelaria,52,0,2
13,54,352,93,362,8708401000,11,0,0
13,329,319,336,326,57.,52,0,0
13,337,319,357,326,Empresa,52,0,1
13,359,319,391,326,transportadora,52,0,2
14,54,352,93,362,8708501100,11,0,0
14,44,342,51,349,59.,52,0,0
14,53,342,77,349,Subpartida,52,0,1
14,78,342,103,349,arancelaria,52,0,2
15,54,352,93,362,8708992100,11,0,0
15,44,342,51,349,59.,52,0,0
15,53,342,77,349,Subpartida,52,0,1
15,78,342,103,349,arancelaria,52,0,2
16,54,352,93,362,8708995000,11,0,0
16,44,342,51,349,59.,52,0,0
16,53,342,77,349,Subpartida,52,0,1
16,78,342,103,349,arancelaria,52,0,2
17,54,352,93,362,8708999900,11,0,0
17,44,342,51,349,59.,52,0,0
17,53,342,77,349,Subpartida,52,0,1
17,78,342,103,349,arancelaria,52,0,2
18,54,352,93,362,8708999900,11,0,0
18,329,319,336,326,57.,52,0,0
18,337,319,357,326,Empresa,52,0,1
18,359,319,391,326,transportadora,52,0,2
19,54,352,93,362,9029201000,11,0,0
19,44,342,51,349,59.,52,0,0
19,53,342,77,349,Subpartida,52,0,1
19,78,342,103,349,arancelaria,52,0,2
20,54,352,93,362,9026101100,11,0,0
20,44,342,51,349,59.,52,0,0
20,53,342,77,349,Subpartida,52,0,1
20,78,342,103,349,arancelaria,52,0,2
21,54,352,93,362,7318190000,11,0,0
21,44,342,51,349,59.,52,0,0
21,53,342,77,349,Subpartida,52,0,1
21,78,342,103,349,arancelaria,52,0,2
22,54,352,93,362,4908909000,11,0,0
22,44,342,51,349,59.,52,0,0
22,53,342,77,349,Subpartida,52,0,1
22,78,342,103,349,arancelaria,52,0,2
23,54,352,93,362,8708999900,11,0,0
23,44,342,51,349,59.,52,0,0
23,53,342,77,349,Subpartida,52,0,1
23,78,342,103,349,arancelaria,52,0,2
25,54,352,93,362,4009310000,11,0,0
25,44,342,51,349,59.,52,0,0
25,53,342,77,349,Subpartida,52,0,1
25,78,342,103,349,arancelaria,52,0,2
26,54,352,93,362,3923509000,11,0,0
26,44,342,51,349,59.,52,0,0
26,53,342,77,349,Subpartida,52,0,1
26,78,342,103,349,arancelaria,52,0,2
27,54,352,93,362,3926909020,11,0,0
27,44,342,51,349,59.,52,0,0
27,53,342,77,349,Subpartida,52,0,1
27,78,342,103,349,arancelaria,52,0,2
28,54,352,93,362,8512301000,11,0,0
28,44,342,51,349,59.,52,0,0
28,53,342,77,349,Subpartida,52,0,1
28,78,342,103,349,arancelaria,52,0,2
29,54,352,93,362,8536419000,11,0,0
29,44,342,51,349,59.,52,0,0
29,53,342,77,349,Subpartida,52,0,1
29,78,342,103,349,arancelaria,52,0,2
30,54,352,93,362,8536501100,11,0,0
30,44,342,51,349,59.,52,0,0
30,53,342,77,349,Subpartida,52,0,1
30,78,342,103,349,arancelaria,52,0,2
32,54,352,93,362,8536501100,11,0,0
32,44,342,51,349,59.,52,0,0
32,53,342,77,349,Subpartida,52,0,1
32,78,342,103,349,arancelaria,52,0,2
34,54,352,93,362,8708292000,11,0,0
34,329,319,336,326,57.,52,0,0
34,337,319,357,326,Empresa,52,0,1
34,359,319,391,326,transportadora,52,0,2
35,54,352,93,362,8708292000,11,0,0
35,44,342,51,349,59.,52,0,0
35,53,342,77,349,Subpartida,52,0,1
35,78,342,103,349,arancelaria,52,0,2
36,54,352,93,362,8536501100,11,0,0
36,44,342,51,349,59.,52,0,0
36,53,342,77,349,Subpartida,52,0,1
36,78,342,103,349,arancelaria,52,0,2
38,54,352,93,362,8708292000,11,0,0
38,329,319,336,326,57.,52,0,0
38,337,319,357,326,Empresa,52,0,1
