page_number,x0,y0,x1,y1,text,block_no,line_no,word_no
1,56,67,83,84,2026,0,0,0
1,390,84,500,101,482026000170219-1,1,0,0
1,55,154,84,161,901592799,2,0,0
1,252,154,256,161,3,2,1,0
1,274,155,321,162,ENSAMBLADORA,2,2,0
1,323,155,348,162,VAISAND,2,2,1
1,350,155,364,162,S.A.S,2,2,2
1,55,177,64,184,KM,3,0,0
1,65,177,69,184,6,3,0,1
1,70,177,79,184,VIA,3,0,2
1,81,177,85,184,A,3,0,3
1,86,177,115,184,MAMONAL,3,0,4
1,117,177,148,184,COMPLEJO,3,0,5
1,150,177,181,184,LOGISTICO,3,0,6
1,182,177,193,184,DEL,3,0,7
1,195,177,216,184,CARIBE,3,0,8
1,286,177,317,185,3234899363,3,1,0
1,358,177,365,185,48,3,2,0
1,436,177,443,185,13,3,3,0
1,517,177,526,185,836,3,4,0
1,47,200,76,208,890921974,4,0,0
1,205,201,209,211,1,4,1,0
1,222,200,248,208,AGENCIA,4,2,0
1,250,200,258,208,DE,4,2,1
1,259,200,287,208,ADUANAS,4,2,2
1,288,200,315,208,MARIANO,4,2,3
1,317,200,340,208,ROLDAN,4,2,4
1,342,200,353,208,S.A.,4,2,5
1,354,200,371,208,NIVEL,4,2,6
1,372,200,375,208,1,4,2,7
1,377,200,387,208,BIC,4,2,8
1,388,200,403,208,LTDA,4,2,9
1,496,200,503,208,26,4,3,0
1,552,201,561,209,069,4,4,0
1,48,221,73,229,45757176,5,0,0
1,224,221,255,229,ARBOLEDA,5,1,0
1,257,221,258,229,.,5,1,1
1,260,221,276,229,CRUZ,5,1,2
1,277,221,296,229,ELENA,5,1,3
1,44,247,51,256,01,6,0,0
1,82,245,100,255,Inicial,6,1,0
1,145,246,149,256,1,6,2,0
1,167,247,232,256,XXXXXXXXXXXXXX,6,3,0
1,266,247,284,256,XXXX,6,4,0
1,286,247,289,256,-,6,4,1
1,291,247,300,256,XX,6,4,2
1,302,247,304,256,-,6,4,3
1,306,247,316,256,XX,6,4,4
1,345,247,354,256,XX,6,5,0
1,380,246,391,256,No.,6,6,0
1,393,246,463,256,XXXXXXXXXXXXXXX,6,6,1
1,475,246,493,256,XXXX,6,7,0
1,495,246,498,256,-,6,7,1
1,500,246,509,256,XX,6,7,2
1,511,246,513,256,-,6,7,3
1,515,246,524,256,XX,6,7,4
1,554,246,564,256,XX,6,8,0
1,53,272,66,280,CTG,7,0,0
1,108,271,118,279,989,7,1,0
1,147,271,156,279,No.,7,2,0
